R1	R2	R3	P1	P2	P3	P4	P5	Number	Reaction_enthalpy
C3O	C+		O	C4+				596	216.87266497954076
c-C6H6	C3H5+		CH3CCH	c-C6H7+				648	13.565171883387139
C2H2	C4H4+		H	c-C6H5+				650	37.013556177567054
CH4	C6H2+		H	C7H5+				668	51.31989363977762
C	C7H+		H	C8+				674	195.814110736379
H2	C7H+		H	C7H2+				677	169.7773347994136
H2	H3C4N+		H	H3C4NH+				680	831.7208816876274
C	C7H2+		H2	C8+				687	26.036775936965395
H2	HC7N+		H	C7H2N+				698	10.55836477567688
C	C9H+		H	C10+				712	162.13251385047744
H2	C9H+		H	C9H2+				715	172.17982501230574
H2	C9HN+		H	C9H2N+				730	78.51064202693833
O	C3O		O2	C3				788	234.39483848530358
Si	C2H2		H	HCCSi				837	79.64863384518517
Si	CH3CCH		H	SiC2CH3				838	71.56433540634393
Si	C4H2		H	SiC4H				839	64.04427271347475
Si	C6H2		H	SiC6H				840	58.53978026937673
Si	C8H2		H	SiC8H				841	56.104051223702236
Si	C2H4		H	H2CSiCH				842	121.65061152212408
Si	CH3CHCH2		H	SiC3H5				843	132.9497115575584
NH	NO		H	O	N2			900	14.346179427786753
OH	SiO		H	SiO2				904	14.91588671621791
CO2	CN+		NO	C2O+				922	138.05079589618379
H2O	PH+		H	H2PO+				1333	53.279152160002575
NH3	PH+		H	PNH3+				1339	21.899727750085773
CH4	PH+		H	PCH4+				1341	182.7457386262599
N	SiH+		H	SiN+				1352	110.21949608603413
H2	SiO+		H	HSiO+				1364	97.89274087847936
H	SiS+		HS	Si+				1366	12.627238191716344
H2	SiS+		H	HSiS+				1367	96.68104628123085
H2	CHSi+		H	CH2Si+				1444	156.48156549154587
C4H2	C2H3+		H	C6H4+				1489	19.383464111459514
Si	c-C3H2+		H2	l-SiC3+				1523	113.6820112634988
C4H2	c-C3H2+		H2	C7H2+				1554	25.99537179879952
CCH	C4H+		H2	C6+				1590	127.52393712275273
CCH	C4H+		H2	C6+				1590	127.52393712275273
SiO	HCO+		CO	HSiO+				1709	55.56695264795332
C	C5H+		H	C6+				1785	248.75485429907656
H2	C5H+		H	C5H2+				1788	169.78022284968603
H2	HC4N+		H	H2C4N+				1818	17.994306442192247
C4H2	C4H3+		H	C8H4+				1868	67.81257438568262
C	C5H2+		H2	C6+				1873	78.97463144946516
C	CO		O	C2				1952	466.0158806426259
C2H2	CH4+		H	H2	l-C3H3+			2258	27.581541489646405
H2O	SiCH3+		SiCH2	H3O+				2277	182.93853435715323
CO	SiH4+		SiH3	HCO+				2279	44.81479418859525
H2	SiH4+		H	SiH5+				2280	49.82143377141777
S	C2H4+		H	H2	HC2S+			2291	128.466150379488
C2H2	C2H4+		CH3	l-C3H3+				2298	34.71367576334391
HC3N	C2H4+		C2H3	HC3NH+				2313	14.282143477852534
CCH	c-C3H3+		H2	C5H2+				2345	44.420712122375825
CCH	c-C3H3+		H2	C5H2+				2345	44.420712122375825
C2H2	c-C3H3+		H2	C5H3+				2349	49.95780277711711
c-C3H2	c-C3H3+		H	C6H4+				2358	41.80757251472823
CH2CCH	c-C3H3+		H	c-C6H5+				2368	53.737215303454015
HCCNC	C+		CCN	C2H+				2382	84.31788116194681
HNCCC	C+		CH	C3N+				2387	67.2209231666484
CH2PH	HCO+		CO	PCH4+				2494	36.362468884807264
CH2PH	HCO+		CO	PCH4+				2494	36.362468884807264
H2	HCP+		H	PCH2+				2551	30.715380011097274
OH	HNC+		CN	H2O+				2562	27.933954242372355
CO	HNSi+		SiN	HCO+				2590	113.63280387606054
H2O	HNSi+		SiN	H3O+				2592	17.129637596407974
H2O	P+		H	HPO+				2717	72.22140096304075
P	H3O+		H2	HPO+				2742	26.76464335739745
S2	H3O+		H2O	HS2+				2748	31.97275594914343
SiO	H3O+		H2O	HSiO+				2751	152.07011892760588
CCO	H3O+		H2O	C2HO+				2754	86.65436367436187
HNSi	H3O+		H2O	HSiNH+				2762	74.72563981068883
HNSi	H3O+		H2O	HSiNH+				2762	74.72563981068883
CH2PH	H3O+		H2O	PCH4+				2788	132.86563516460907
CH2PH	H3O+		H2O	PCH4+				2788	132.86563516460907
C	SiC2H+		H	l-SiC3+				2839	212.42943122192912
CH4	S+		H	H3CS+				2963	47.860245771323285
C4H2	S+		CS	l-C3H2+				2965	120.02316634305151
C4H2	S+		HS	C4H+				2966	194.16684565591598
NH	Si+		H	SiN+				2969	117.10681323065917
H2O	Si+		H	HSiO+				2973	139.68641163233093
HCN	Si+		H	SiNC+				2974	63.106050217299064
c-C3H	Si+		H	l-SiC3+				2978	213.03263989307246
l-C3H	Si+		H	l-SiC3+				2979	204.89792134836011
CH3	Si+		H	CH2Si+				2981	149.25001927840776
NH3	Si+		H	HSiNH+				2982	130.47311397591506
C4H	Si+		H	SiC4+				2986	69.0488436648963
C4H	Si+		H	SiC4+				2986	69.0488436648963
C4H2	Si+		SiH	C4H+				2989	441.6624050389666
H2	C2+		CCH	H+				3000	152.62446940276385
C	CH+		C2	H+				3023	46.3976216178867
OCS	CH+		C	HOCS+				3059	16.572892402389403
OCS	CH+		C	HOCS+				3059	16.572892402389403
Si	C3H+		H	l-SiC3+				3174	117.95348453521437
NO	C3H+		l-C3H	NO+				3176	19.061131452080566
NO	C3H+		l-C3H	NO+				3176	19.061131452080566
OCS	C3H+		H	C3O	CS+			3188	464.231388543207
OCS	C3H+		H	C3O	CS+			3188	464.231388543207
C2H2	C3H+		H	C5H2+				3191	82.46479786986416
NH3	C3H+		l-C3H	NH3+				3193	104.17613022771859
C4H2	C3H+		CCH	C5H2+				3201	200.47615893131376
C2H3	CH3+		H	H2	l-C3H3+			3248	15.610389542700744
C2H4	CH3+		H2	H2	l-C3H3+			3264	39.318428192717064
H2	SO2+		H	HSO2+				3362	113.50370251758577
H	C10H-		CCH	C8H-				3493	140.94661759669384
C	C10H-		C6	C5H-				3494	191.20210457495682
C	C10H2+		C9H	C2H+				3569	356.3221488480002
N	C10H2+		C9H	HNC+				3570	269.8848273987115
C5H3+	C6-		H	C6	C5H2			3710	33.638564937365096
C5H3+	C8-		H	C5H2	C8			3714	54.14828987007034
C5H3+	C8H-		H	C5H2	C8H			3715	16.67077104988483
C5H3+	C10-		H	C5H2	C10			3718	69.10201004373745
C5H3+	C10H-		H	C5H2	C10H			3719	28.260359052926415
C5H3+	C3N-		H	C3N	C5H2			3720	51.39295868492848
C7H3+	CN-		H	CN	C7H2			3745	53.39188851315587
C7H3+	C4H-		H	C4H	C7H2			3747	25.041732102551894
C7H3+	C6-		H	C6	C7H2			3750	79.5008549408826
C7H3+	C6H-		H	C6H	C7H2			3751	46.95197760654425
C7H3+	C8-		H	C8	C7H2			3754	100.01057987373709
C7H3+	C8H-		H	C7H2	C8H			3755	62.53306105355157
C7H3+	C9-		H	C7H2	C9			3756	38.09711061229073
C7H3+	C10-		H	C7H2	C10			3758	114.9643000474042
C7H3+	C10H-		H	C7H2	C10H			3759	74.12264905629468
C7H3+	C3N-		H	C3N	C7H2			3760	97.25524868859523
C9H3+	CN-		H	CN	C9H2			3785	87.81671199575504
C9H3+	C4H-		H	C4H	C9H2			3787	59.466555585001835
C9H3+	C6-		H	C6	C9H2			3790	113.92567842378027
C9H3+	C6H-		H	C6H	C9H2			3791	81.37680108899418
C9H3+	C7-		H	C7	C9H2			3792	39.1962500160733
C9H3+	C8-		H	C8	C9H2			3794	134.4354033560378
C9H3+	C8H-		H	C8H	C9H2			3795	96.95788453585227
C9H3+	C9-		H	C9	C9H2			3796	72.52193409459143
C9H3+	C9H-		H	C9H	C9H2			3797	17.216848836575647
C9H3+	C10-		H	C10	C9H2			3798	149.38912352970488
C9H3+	C10H-		H	C10H	C9H2			3799	108.54747253889386
C9H3+	C3N-		H	C3N	C9H2			3800	131.68007217089593
CF+	CN-		C	F	CN			3805	23.74949241023802
CF+	C6-		C	F	C6			3810	49.85845883796475
CF+	C6H-		C	F	C6H			3811	17.309581503626397
CF+	C8-		C	F	C8			3814	70.36818377052076
CF+	C8H-		C	F	C8H			3815	32.890664950484485
CF+	C10-		C	F	C10			3818	85.32190394448635
