R1	R2	R3	P1	P2	P3	P4	P5	A	B	C	D	E	Distr	Type	T_min	T_max	Formula	Number	n3	n4	comment	enthalpy
N2	CR		N	N				5.0	0.0	0.0	1.25	0.0	logn	1	-9999.0	9999.0	1	1	1	1		
H	CR		H+	e-				0.46	0.0	0.0	2.0	0.0	logn	1	-9999.0	9999.0	1	2	1	1		
He	CR		He+	e-				0.5	0.0	0.0	2.0	0.0	logn	1	-9999.0	9999.0	1	3	1	1		
N	CR		N+	e-				2.1	0.0	0.0	2.0	0.0	logn	1	-9999.0	9999.0	1	4	1	1		
O	CR		O+	e-				2.8	0.0	0.0	2.0	0.0	logn	1	-9999.0	9999.0	1	5	1	1		
CO	CR		C	O				5.0	0.0	0.0	2.0	0.0	logn	1	-9999.0	9999.0	1	6	1	1		
CO	CR		CO+	e-				3.0	0.0	0.0	2.0	0.0	logn	1	-9999.0	9999.0	1	7	1	1		
H2	CR		H	H				0.1	0.0	0.0	2.0	0.0	logn	1	-9999.0	9999.0	1	8	1	1		
H2	CR		H	H+	e-			0.022	0.0	0.0	2.0	0.0	logn	1	-9999.0	9999.0	1	9	1	1		
H2	CR		H+	H-				0.0003	0.0	0.0	2.0	0.0	logn	1	-9999.0	9999.0	1	10	1	1		
H2	CR		H2+	e-				0.93	0.0	0.0	2.0	0.0	logn	1	-9999.0	9999.0	1	11	1	1		
HC7N	CRP		CN	C6H				1750.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	12	1	1		
CH3COCH3	CRP		H2CCO	CH4				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	13	1	1		
C8H2	CRP		H	C8H				1750.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	14	1	1		
C9H	CRP		H	C9				5000.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	15	1	1		
C9N	CRP		CN	C8				1750.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	16	1	1		
C10	CRP		C3	C7				750.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	17	1	3		
C10	CRP		C5	C5				250.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	18	1	3		
C10H	CRP		H	C10				5000.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	19	1	1		
CH3C5N	CRP		CH3	C5N				1500.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	20	1	1		
C9H2	CRP		H	C9H				1750.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	21	1	1		
CH3C6H	CRP		CH3	C6H				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	22	1	1		
CH3C7N	CRP		CH3	C7N				1500.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	23	1	1		
HC9N	CRP		CN	C8H				1750.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	24	1	1		
HC6N	CRP		CH	CN	C4			2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	25	1	1		
HC8N	CRP		CH	CN	C6			2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	26	1	1		
H2CSiCH	CRP		H	c-HCCHSi				2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	27	1	1		
SiC2CH3	CRP		H2	SiC3H				2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	28	1	1		
SiC3H5	CRP		H2	H2	SiC3H			2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	29	1	1		
