React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr     0 n  n !comment 
N2         CR                     N          N                                             5.000e+00  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  1  -9999   9999  1     1 1  1 
H          CR                     H+         e-                                            4.600e-01  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     2 1  1 
He         CR                     He+        e-                                            5.000e-01  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     3 1  1 
N          CR                     N+         e-                                            2.100e+00  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     4 1  1 
O          CR                     O+         e-                                            2.800e+00  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     5 1  1 
CO         CR                     C          O                                             5.000e+00  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     6 1  1 
CO         CR                     CO+        e-                                            3.000e+00  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     7 1  1 
H2         CR                     H          H                                             1.000e-01  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     8 1  1 
H2         CR                     H          H+         e-                                 2.200e-02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     9 1  1 
H2         CR                     H2+        e-                                            9.300e-01  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1    10 1  1 
CH+        CRP                    H          C+                                            1.120e+02  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  2  -9999   9999  1    11 1  2 
CH+        CRP                    C          H+                                            6.400e+01  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  2  -9999   9999  1    12 1  2 
HS         CRP                    H          S                                             5.000e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    13 1  1 
NH         CRP                    H          N                                             5.000e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    14 1  1 
NO         CRP                    N          O                                             4.820e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    15 1  1 
NO         CRP                    NO+        e-                                            4.940e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    16 1  1 
NS         CRP                    N          S                                             5.000e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    17 1  1 
O2         CRP                    O          O                                             7.500e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    18 1  1 
O2         CRP                    O2+        e-                                            1.170e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    19 1  1 
OH         CRP                    H          O                                             5.100e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    20 1  2 
S2         CRP                    S          S                                             5.000e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    21 1  1 
SO         CRP                    O          S                                             5.000e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    22 1  1 
CCH        CRP                    H          C2                                            5.000e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    23 1  1 
