R1	R2	R3	P1	P2	P3	P4	P5	A	B	C	D	E	Distr	Type	T_min	T_max	Formula	Number	n3	n4	comment
Si	C2H2		H	HCCSi				2.7e-10	-0.11	0.0	2.0	0.0	logn	4	10.0	300.0	3	837	1	1	
Si	CH3CCH		H	SiC2CH3				2.7e-10	-0.11	0.0	2.0	0.0	logn	4	10.0	300.0	3	838	1	1	
Si	C4H2		H	SiC4H				2.7e-10	-0.11	0.0	2.0	0.0	logn	4	10.0	300.0	3	839	1	1	
Si	C6H2		H	SiC6H				2.7e-10	-0.11	0.0	2.0	0.0	logn	4	10.0	300.0	3	840	1	1	
Si	C8H2		H	SiC8H				2.7e-10	-0.11	0.0	2.0	0.0	logn	4	10.0	300.0	3	841	1	1	
Si	C2H4		H	H2CSiCH				2.4e-10	-0.12	0.0	2.0	0.0	logn	4	10.0	300.0	3	842	1	1	
Si	CH3CHCH2		H	SiC3H5				2.4e-10	-0.12	0.0	2.0	0.0	logn	4	10.0	300.0	3	843	1	1	
OH	SiO		H	SiO2				2e-12	0.0	0.0	1.5	0.0	logn	4	10.0	300.0	3	904	1	1	
N	SiH+		H	SiN+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1352	1	1	
H2	SiO+		H	HSiO+				3.2e-10	0.0	0.0	1.25	0.0	logn	4	10.0	300.0	3	1364	1	1	
H	SiS+		HS	Si+				1.9e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1366	1	1	
H2	SiS+		H	HSiS+				1.5e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1367	1	1	
H2	CHSi+		H	CH2Si+				1.5e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1444	1	1	
Si	c-C3H2+		H2	l-SiC3+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1523	1	1	
SiO	HCO+		CO	HSiO+				1.0	1.18e-09	5.1	2.0	0.0	logn	4	10.0	800.0	4	1709	1	1	
H2O	SiCH3+		SiCH2	H3O+				1.0	7.79e-10	5.41	2.0	0.0	logn	4	10.0	800.0	4	2277	1	1	
CO	SiH4+		SiH3	HCO+				1.0	8.47e-10	0.251	2.0	0.0	logn	4	10.0	800.0	5	2279	1	1	
H2	SiH4+		H	SiH5+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2280	1	1	
CO	HNSi+		SiN	HCO+				1.0	7.93e-10	0.251	2.0	0.0	logn	4	10.0	800.0	5	2590	1	1	
H2O	HNSi+		SiN	H3O+				1.0	7.79e-10	5.41	2.0	0.0	logn	4	10.0	800.0	4	2592	1	1	
SiO	H3O+		H2O	HSiO+				1.0	1.35e-09	5.1	2.0	0.0	logn	4	10.0	800.0	4	2751	1	1	
HNSi	H3O+		H2O	HSiNH+				1.0	1.52e-09	0.377	2.0	0.0	logn	4	10.0	11.0	4	2762	1	1	
HNSi	H3O+		H2O	HSiNH+				1.0	1.52e-09	0.377	2.0	0.0	logn	4	11.0	800.0	5	2762	2	1	
C	SiC2H+		H	l-SiC3+				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2839	1	1	
NH	Si+		H	SiN+				1.0	9.01e-10	4.4	2.0	0.0	logn	4	10.0	800.0	4	2969	1	1	
H2O	Si+		H	HSiO+				1.0	8.37e-10	5.41	2.0	0.0	logn	4	10.0	800.0	4	2973	1	1	
HCN	Si+		H	SiNC+				1.0	1e-09	6.61	2.0	0.0	logn	4	10.0	800.0	4	2974	1	1	
c-C3H	Si+		H	l-SiC3+				1.0	1.29e-09	4.13	2.0	0.0	logn	4	10.0	800.0	4	2978	1	1	
l-C3H	Si+		H	l-SiC3+				1.0	1.36e-09	5.3	2.0	0.0	logn	4	10.0	800.0	4	2979	1	1	
CH3	Si+		H	CH2Si+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2981	1	1	
NH3	Si+		H	HSiNH+				1.0	1.04e-09	3.65	2.0	0.0	logn	4	10.0	800.0	4	2982	1	1	
C4H	Si+		H	SiC4+				1.0	1.48e-09	1.13	2.0	0.0	logn	4	10.0	95.0	4	2986	1	1	
C4H	Si+		H	SiC4+				1.0	1.48e-09	1.13	2.0	0.0	logn	4	95.0	800.0	5	2986	2	1	
C4H2	Si+		SiH	C4H+				1.6e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2989	1	1	
Si	C3H+		H	l-SiC3+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3174	1	1	
O2	Si+		O	SiO+				1e-13	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4747	1	1	
H2O	SiH+		Si	H3O+				8e-10	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4748	1	1	
SiS	S+		S	SiS+				1.0	1.4e-09	2.14	2.0	0.0	logn	5	10.0	344.0	4	5247	1	1	
SiS	S+		S	SiS+				1.0	1.4e-09	2.14	2.0	0.0	logn	5	344.0	800.0	5	5247	2	1	
