React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
SiC        CRP                    C          Si                                            5.000e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    50 1  1 
SiH        CRP                    H          Si                                            5.000e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    51 1  1 
SiN        CRP                    N          Si                                            5.000e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    52 1  1 
SiO        CRP                    O          Si                                            5.000e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    53 1  1 
SiS        CRP                    S          Si                                            5.000e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    54 1  1 
HCSi       CRP                    Si         CH                                            1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    74 1  1 
HNSi       CRP                    H          SiN                                           1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    77 1  1 
c-SiC2     CRP                    C          SiC                                           1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    91 1  1 
SiH2       CRP                    H          SiH                                           1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    92 1  1 
SiNC       CRP                    Si         CN                                            1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    93 1  1 
SiO2       CRP                    O          SiO                                           1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    94 1  1 
H2SiO      CRP                    H2         SiO                                           1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   112 1  1 
HCCSi      CRP                    H          c-SiC2                                        1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   117 1  1 
l-SiC3     CRP                    C          c-SiC2                                        1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   118 1  1 
SiCH2      CRP                    H2         SiC                                           1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   119 1  1 
SiH3       CRP                    H          SiH2                                          1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   120 1  1 
c-HCCHSi   CRP                    H2         c-SiC2                                        1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   139 1  1 
SiC3H      CRP                    H          l-SiC3                                        1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   140 1  1 
SiC4       CRP                    C2         c-SiC2                                        1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   141 1  1 
SiCH3      CRP                    H          SiCH2                                         1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   142 1  1 
SiH4       CRP                    H2         SiH2                                          1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   143 1  1 
Si         CRP                    Si+        e-                                            4.230e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   199 1  1 
SiH+       Photon                 H          Si+                                           2.700e-09  0.000e+00  1.210e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2   273 1  2 
Si         Photon                 Si+        e-                                            3.100e-09  0.000e+00  2.270e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   292 1  2 
SiC        Photon                 C          Si                                            1.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   316 1  1 
SiH        Photon                 H          Si                                            2.800e-09  0.000e+00  1.590e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   317 1  2 
SiO        Photon                 O          Si                                            1.600e-09  0.000e+00  2.280e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   318 1  2 
SiS        Photon                 S          Si                                            1.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   319 1  1 
SiN        Photon                 N          Si                                            1.000e-09  0.000e+00  2.800e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   493 1  1 
HCSi       Photon                 H          SiC                                           1.000e-09  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   497 1  1 
HCSi       Photon                 CHSi+      e-                                            1.000e-11  0.000e+00  2.000e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   498 1  1 
HNSi       Photon                 H          SiN                                           5.480e-10  0.000e+00  2.000e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   499 1  1 
c-SiC2     Photon                 Si         C2                                            2.600e-10  0.000e+00  2.280e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   506 1  1 
SiH2       Photon                 H          SiH                                           5.000e-11  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   507 1  1 
SiH2       Photon                 SiH2+      e-                                            1.000e-09  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   508 1  1 
SiNC       Photon                 C          SiN                                           1.000e-10  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   509 1  1 
SiNC       Photon                 Si         CN                                            1.000e-09  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   510 1  1 
SiO2       Photon                 O          SiO                                           3.130e-10  0.000e+00  2.030e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   511 1  1 
H2SiO      Photon                 H          H          SiO                                4.400e-10  0.000e+00  1.600e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   514 1  1 
H2SiO      Photon                 H2         SiO                                           4.400e-10  0.000e+00  1.600e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   515 1  1 
HCCSi      Photon                 H          c-SiC2                                        1.000e-09  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   516 1  1 
l-SiC3     Photon                 C          c-SiC2                                        2.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   517 1  1 
l-SiC3     Photon                 C2         SiC                                           2.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   518 1  1 
SiCH2      Photon                 H          HCSi                                          1.810e-09  0.000e+00  1.720e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   519 1  1 
SiCH2      Photon                 CH2Si+     e-                                            2.070e-10  0.000e+00  2.670e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   520 1  1 
SiH3       Photon                 SiH3+      e-                                            1.000e-10  0.000e+00  2.100e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   521 1  1 
SiH3       Photon                 H2         SiH                                           3.000e-11  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   522 1  1 
